date,GOOG,AAPL,IBM,MSFT
2010-01-04,;1.0;,;29.22;,;121.91;,;27.48;
2010-01-05,;1.0;,;29.27;,;120.44;,;27.49;
2010-01-06,;1.0;,;28.81;,;119.66;,;27.32;
2010-01-07,;1.0;,;28.75;,;119.24;,;27.03;
2010-01-08,;1.0;,;28.94;,;120.44;,;27.22;
2010-01-11,;1.0;,;28.69;,;119.18;,;26.87;
2010-01-12,;1.0;,;28.36;,;120.13;,;26.7;
2010-01-13,;1.0;,;28.76;,;119.87;,;26.94;
2010-01-14,;1.0;,;28.6;,;121.78;,;27.49;
2010-01-15,;1.0;,;28.12;,;121.29;,;27.4;
2010-01-19,;1.0;,;29.36;,;123.47;,;27.61;
2010-01-20,;1.0;,;28.91;,;119.89;,;27.16;
2010-01-21,;1.0;,;28.41;,;118.74;,;26.64;
2010-01-22,;1.0;,;27.0;,;115.51;,;25.71;
2010-01-25,;1.0;,;27.73;,;116.09;,;26.03;
2010-01-26,;1.0;,;28.12;,;115.74;,;26.19;
2010-01-27,;1.0;,;28.39;,;116.28;,;26.34;
2010-01-28,;1.0;,;27.21;,;113.9;,;25.89;
2010-01-29,;1.0;,;26.22;,;112.65;,;25.02;
2010-02-01,;1.0;,;26.59;,;114.75;,;25.22;
2010-02-02,;1.0;,;26.74;,;115.54;,;25.27;
2010-02-03,;1.0;,;27.2;,;115.66;,;25.42;
2010-02-04,;1.0;,;26.22;,;113.21;,;24.72;
2010-02-05,;1.0;,;26.69;,;113.69;,;24.88;
2010-02-08,;1.0;,;26.51;,;112.68;,;24.61;
2010-02-09,;1.0;,;26.79;,;113.91;,;24.87;
2010-02-10,;1.0;,;26.64;,;113.54;,;24.85;
2010-02-11,;1.0;,;27.13;,;114.39;,;24.96;
2010-02-12,;1.0;,;27.36;,;114.64;,;24.8;
2010-02-16,;1.0;,;27.77;,;115.78;,;25.29;
2010-02-17,;1.0;,;27.66;,;116.8;,;25.5;
2010-02-18,;1.0;,;27.71;,;118.17;,;25.84;
2010-02-19,;1.0;,;27.54;,;117.59;,;25.66;
2010-02-22,;1.0;,;27.37;,;117.28;,;25.63;
2010-02-23,;1.0;,;26.91;,;116.92;,;25.27;
2010-02-24,;1.0;,;27.4;,;117.96;,;25.54;
2010-02-25,;1.0;,;27.58;,;117.48;,;25.51;
2010-02-26,;1.0;,;27.94;,;117.57;,;25.57;
2010-03-01,;1.0;,;28.54;,;118.87;,;25.88;
2010-03-02,;1.0;,;28.52;,;117.81;,;25.38;
2010-03-03,;1.0;,;28.58;,;117.31;,;25.38;
2010-03-04,;1.0;,;28.77;,;117.16;,;25.54;
2010-03-05,;1.0;,;29.9;,;117.65;,;25.5;
2010-03-08,;1.0;,;29.91;,;116.87;,;25.54;
2010-03-09,;1.0;,;30.45;,;116.08;,;25.69;
2010-03-10,;1.0;,;30.7;,;116.14;,;25.84;
2010-03-11,;1.0;,;30.79;,;117.97;,;26.03;
2010-03-12,;1.0;,;30.94;,;118.29;,;26.11;
2010-03-15,;1.0;,;30.56;,;118.19;,;26.12;
2010-03-16,;1.0;,;30.65;,;118.96;,;26.2;
2010-03-17,;1.0;,;30.6;,;118.12;,;26.43;
2010-03-18,;1.0;,;30.67;,;118.69;,;26.41;
2010-03-19,;1.0;,;30.35;,;118.07;,;26.39;
2010-03-22,;1.0;,;30.69;,;118.32;,;26.4;
2010-03-23,;1.0;,;31.18;,;119.61;,;26.65;
2010-03-24,;1.0;,;31.32;,;118.83;,;26.45;
2010-03-25,;1.0;,;30.95;,;119.49;,;26.77;
2010-03-26,;1.0;,;31.53;,;119.51;,;26.45;
2010-03-29,;1.0;,;31.73;,;118.89;,;26.39;
2010-03-30,;1.0;,;32.2;,;119.05;,;26.55;
2010-03-31,;1.0;,;32.09;,;118.57;,;26.12;
2010-04-01,;1.0;,;32.22;,;118.57;,;26.01;
2010-04-05,;1.0;,;32.56;,;119.59;,;26.11;
2010-04-06,;1.0;,;32.71;,;119.2;,;26.15;
2010-04-07,;1.0;,;32.85;,;118.79;,;26.18;
2010-04-08,;1.0;,;32.76;,;117.98;,;26.69;
2010-04-09,;1.0;,;33.02;,;119.05;,;27.06;
2010-04-12,;1.0;,;33.08;,;118.68;,;27.04;
2010-04-13,;1.0;,;33.1;,;119.29;,;27.16;
2010-04-14,;1.0;,;33.55;,;121.35;,;27.49;
2010-04-15,;1.0;,;33.99;,;121.01;,;27.53;
2010-04-16,;1.0;,;33.78;,;120.77;,;27.36;
2010-04-19,;1.0;,;33.74;,;122.25;,;27.69;
2010-04-20,;1.0;,;33.4;,;119.91;,;27.97;
2010-04-21,;1.0;,;35.4;,;119.26;,;27.94;
2010-04-22,;1.0;,;36.39;,;119.39;,;28.0;
2010-04-23,;1.0;,;36.98;,;120.18;,;27.61;
2010-04-26,;1.0;,;36.8;,;120.87;,;27.75;
2010-04-27,;1.0;,;35.78;,;119.1;,;27.52;
2010-04-28,;1.0;,;35.72;,;120.28;,;27.57;
2010-04-29,;1.0;,;36.68;,;120.62;,;27.65;
2010-04-30,;1.0;,;35.65;,;119.27;,;27.24;
2010-05-03,;1.0;,;36.37;,;119.82;,;27.52;
2010-05-04,;1.0;,;35.32;,;118.45;,;26.87;
2010-05-05,;1.0;,;34.95;,;117.84;,;26.62;
2010-05-06,;1.0;,;33.62;,;115.16;,;25.85;
2010-05-07,;1.0;,;32.21;,;113.47;,;25.16;
2010-05-10,;1.0;,;34.68;,;117.34;,;25.81;
2010-05-11,;1.0;,;35.03;,;117.92;,;25.76;
2010-05-12,;1.0;,;35.79;,;123.3;,;26.26;
2010-05-13,;1.0;,;35.28;,;122.18;,;26.08;
2010-05-14,;1.0;,;34.66;,;121.91;,;25.8;
2010-05-17,;1.0;,;34.71;,;121.22;,;25.81;
2010-05-18,;1.0;,;34.46;,;120.76;,;25.62;
2010-05-19,;1.0;,;33.91;,;119.75;,;25.3;
2010-05-20,;1.0;,;32.46;,;115.05;,;24.29;
2010-05-21,;1.0;,;33.09;,;116.55;,;24.05;
2010-05-24,;1.0;,;33.69;,;115.65;,;23.54;
2010-05-25,;1.0;,;33.48;,;115.72;,;23.36;
2010-05-26,;1.0;,;33.33;,;114.52;,;22.41;
2010-05-27,;1.0;,;34.59;,;117.45;,;23.29;
2010-05-28,;1.0;,;35.08;,;116.4;,;23.12;
2010-06-01,;1.0;,;35.62;,;115.55;,;23.2;
2010-06-02,;1.0;,;36.04;,;118.4;,;23.71;
2010-06-03,;1.0;,;35.93;,;118.91;,;24.07;
2010-06-04,;1.0;,;34.95;,;116.42;,;23.11;
2010-06-07,;1.0;,;34.26;,;115.35;,;22.66;
2010-06-08,;1.0;,;34.04;,;114.97;,;22.5;
2010-06-09,;1.0;,;33.21;,;115.14;,;22.21;
2010-06-10,;1.0;,;34.21;,;118.65;,;22.4;
2010-06-11,;1.0;,;34.62;,;119.37;,;22.99;
2010-06-14,;1.0;,;34.72;,;119.41;,;22.85;
2010-06-15,;1.0;,;35.46;,;120.61;,;23.81;
