date,Random
0,;0.815845492841;
1,;0.623256412006;
2,;0.338729513935;
3,;0.811074409682;
4,;0.0184119047026;
5,;0.979676173634;
6,;0.944627924996;
7,;0.328555687963;
8,;0.902056655813;
9,;0.883109004398;
10,;0.421031164789;
11,;0.424068931566;
12,;0.0560250818388;
13,;0.859389541004;
14,;0.318388377831;
15,;0.0381105845287;
16,;0.473316464392;
17,;0.8641945463;
18,;0.415366213598;
19,;0.920557204138;
20,;0.386317797345;
21,;0.100236718899;
22,;0.699622944182;
23,;0.352407771834;
24,;0.245466311391;
25,;0.122506750531;
26,;0.327153428547;
27,;0.289828134175;
28,;0.324916575412;
29,;0.176073790628;
30,;0.301336992993;
31,;0.578500532323;
32,;0.0762266471136;
33,;0.305381374478;
34,;0.959249469381;
35,;0.989599527852;
36,;0.621073720927;
37,;0.633474266871;
38,;0.921417762444;
39,;0.82970584815;
40,;0.410672646766;
41,;0.0507200016541;
42,;0.276366465102;
43,;0.198046007671;
44,;0.102224155056;
45,;0.986852526249;
46,;0.710095022531;
47,;0.0693747820091;
48,;0.305797288074;
49,;0.88675357505;
50,;0.882993620403;
51,;0.0931927298671;
52,;0.317937340515;
53,;0.79715121657;
54,;0.412280210555;
55,;0.218006964855;
56,;0.834847035584;
57,;0.172163071987;
58,;0.120531185664;
59,;0.362196674015;
60,;0.966848700922;
61,;0.369930288383;
62,;0.579075302263;
63,;0.436795487782;
64,;0.88274317678;
65,;0.461017371197;
66,;0.92295544793;
67,;0.803883782487;
68,;0.178538686387;
69,;0.477554694341;
70,;0.244855357466;
71,;0.655232632161;
72,;0.555707649391;
73,;0.858070545464;
74,;0.785787143609;
75,;0.374021999699;
76,;0.795566520131;
77,;0.0218293256151;
78,;0.209495535276;
79,;0.451704975149;
80,;0.610092426597;
81,;0.371179889739;
82,;0.346102188098;
83,;0.401268699004;
84,;0.0550850611879;
85,;0.613301199424;
86,;0.985488034078;
87,;0.614545525317;
88,;0.156009034823;
89,;0.109272094739;
90,;0.389436859173;
91,;0.198207379054;
92,;0.839353198774;
93,;0.466904281038;
94,;0.706830871457;
95,;0.642226856383;
96,;0.882470839042;
97,;0.442422458785;
98,;0.62617452777;
99,;0.971761100813;
