date,AAPL,MSFT,WMT,XOM
2010-01-04,;1.0;,;1.0;,;1.0;,;1.0;
2010-01-05,;1.00173370319;,;1.00037119525;,;0.990042398562;,;1.00398274145;
2010-01-06,;0.985783633842;,;0.994432071269;,;0.987829614777;,;1.0126120146;
2010-01-07,;0.984049930652;,;0.984038604306;,;0.98838279478;,;1.00945901095;
2010-01-08,;0.990291262136;,;0.990720118782;,;0.983404068464;,;1.0054762695;
2010-01-11,;0.981622746186;,;0.978099480327;,;0.999631192073;,;1.01676070362;
2010-01-12,;0.97052704577;,;0.971789161099;,;1.00922000684;,;1.01161632924;
2010-01-13,;0.98439667129;,;0.980697847068;,;1.01438316901;,;1.00763358779;
2010-01-14,;0.978502080444;,;1.00037119525;,;0.999631192073;,;1.00779953535;
2010-01-15,;0.962205270458;,;0.99703043801;,;0.989858026486;,;0.999502157318;
2010-01-19,;1.00485436893;,;1.00482553823;,;0.996312005766;,;1.00182542317;
2010-01-20,;0.989251040222;,;0.98849294729;,;0.993177234052;,;0.983903086625;
2010-01-21,;0.97226074896;,;0.969561989607;,;0.97584360163;,;0.964653169598;
2010-01-22,;0.924063800277;,;0.935783221975;,;0.976212409557;,;0.956023896449;
2010-01-25,;0.948682385576;,;0.947290274684;,;0.975106070809;,;0.952373050116;
2010-01-26,;0.962205270458;,;0.953229398664;,;0.98856723063;,;0.95336873548;
2010-01-27,;0.971220527046;,;0.958797327394;,;0.98469486432;,;0.947892465981;
2010-01-28,;0.930998613037;,;0.942464736451;,;0.970127259461;,;0.939429140392;
2010-01-29,;0.897364771151;,;0.910541945063;,;0.985248044323;,;0.931795552605;
2010-02-01,;0.909847434119;,;0.917965850037;,;0.986170032252;,;0.957185529373;
2010-02-02,;0.915048543689;,;0.919821826281;,;0.986354468103;,;0.968469963492;
2010-02-03,;0.930998613037;,;0.925018559762;,;1.00073761585;,;0.963159641553;
2010-02-04,;0.897364771151;,;0.899777282851;,;0.976765674592;,;0.93594424162;
2010-02-05,;0.913314840499;,;0.905345211581;,;0.98561685225;,;0.937105874544;
2010-02-08,;0.907073509015;,;0.895694135115;,;0.976028058739;,;0.936773979423;
2010-02-09,;0.916782246879;,;0.904974016333;,;0.981928836758;,;0.949054098905;
2010-02-10,;0.911581137309;,;0.904602821084;,;0.981744464682;,;0.944075672088;
2010-02-11,;0.928224687933;,;0.90868596882;,;0.978794065043;,;0.949717889147;
2010-02-12,;0.936199722607;,;0.902375649592;,;0.975474878736;,;0.943245934285;
2010-02-16,;0.950416088766;,;0.920564216778;,;0.987645263959;,;0.964819117159;
2010-02-17,;0.94625520111;,;0.928359317001;,;0.996865249543;,;0.957185529373;
2010-02-18,;0.948335644938;,;0.940608760208;,;0.985985660176;,;0.960172585463;
2010-02-19,;0.942441054092;,;0.933927245731;,;0.986354468103;,;0.958845004978;
2010-02-22,;0.936546463245;,;0.932813659985;,;0.992624054049;,;0.952041154995;
2010-02-23,;0.920596393897;,;0.919821826281;,;0.988751602706;,;0.945237305012;
2010-02-24,;0.93758668516;,;0.929472902747;,;0.994283594057;,;0.954198473282;
2010-02-25,;0.943828016644;,;0.928359317001;,;0.998524853326;,;0.948224361102;
2010-02-26,;0.955963938974;,;0.930957683742;,;0.99704962162;,;0.946232990375;
2010-03-01,;0.976421636616;,;0.942093541203;,;0.993914849905;,;0.952041154995;
2010-03-02,;0.97572815534;,;0.923904974016;,;0.988198422704;,;0.95336873548;
2010-03-03,;0.978155339806;,;0.923904974016;,;0.98948921856;,;0.952373050116;
2010-03-04,;0.98439667129;,;0.929472902747;,;0.99502120991;,;0.952041154995;
2010-03-05,;1.02288488211;,;0.928359317001;,;0.998340417476;,;0.967640225689;
2010-03-08,;1.02357836338;,;0.929472902747;,;0.998524853326;,;0.967640225689;
2010-03-09,;1.0419556172;,;0.935040831477;,;0.996865249543;,;0.972120809824;
2010-03-10,;1.05062413315;,;0.940608760208;,;0.994510163593;,;0.978426817126;
2010-03-11,;1.05374479889;,;0.947290274684;,;1.00081510187;,;0.978426817126;
2010-03-12,;1.05859916782;,;0.950259836674;,;0.99951703572;,;0.972452704945;
2010-03-15,;1.04576976422;,;0.951002227171;,;1.02770370606;,;0.96515101228;
2010-03-16,;1.04854368932;,;0.953600593912;,;1.03827381904;,;0.968967806173;
2010-03-17,;1.04715672677;,;0.961766889384;,;1.03697566786;,;0.980584135413;
2010-03-18,;1.04958391123;,;0.961395694135;,;1.03734655909;,;0.980916030534;
2010-03-19,;1.03848821082;,;0.960653303638;,;1.02622024744;,;0.975937603717;
2010-03-22,;1.05027739251;,;0.961024498886;,;1.03141251204;,;0.974775970793;
2010-03-23,;1.06692094313;,;0.969933184855;,;1.03641938417;,;0.974610023233;
2010-03-24,;1.07177531207;,;0.962509279881;,;1.03067081462;,;0.96797212081;
2010-03-25,;1.05894590846;,;0.97438752784;,;1.03122709831;,;0.96515101228;
2010-03-26,;1.07871012483;,;0.96288047513;,;1.02937266344;,;0.968635911052;
2010-03-29,;1.08564493759;,;0.960653303638;,;1.03363783814;,;0.97958845005;
2010-03-30,;1.10194174757;,;0.966592427617;,;1.03679027539;,;0.975937603717;
2010-03-31,;1.09812760055;,;0.951002227171;,;1.03104162081;,;0.974941918354;
2010-04-01,;1.10263522885;,;0.946547884187;,;1.02900185724;,;0.984234981746;
2010-04-05,;1.11442441054;,;0.950259836674;,;1.02900185724;,;0.992532359774;
2010-04-06,;1.11927877947;,;0.951744617669;,;1.02974355466;,;0.98838367076;
2010-04-07,;1.1241331484;,;0.952858203415;,;1.02510757376;,;0.980252240292;
2010-04-08,;1.12101248266;,;0.97141796585;,;1.02696200864;,;0.987885828078;
2010-04-09,;1.12968099861;,;0.985152190052;,;1.02121337532;,;1.0008297378;
2010-04-12,;1.13210818308;,;0.984409799555;,;1.02028620039;,;1.00016594756;
2010-04-13,;1.13280166436;,;0.98849294729;,;1.01472302331;,;0.999502157318;
2010-04-14,;1.14805825243;,;1.0007423905;,;1.01323947966;,;0.998672419515;
2010-04-15,;1.16296809986;,;1.00222717149;,;1.00378212539;,;0.993693992698;
2010-04-16,;1.1560332871;,;0.995545657016;,;1.00341123417;,;0.988881513442;
2010-04-19,;1.15429958391;,;1.00779510022;,;1.00860349876;,;0.993196150017;
2010-04-20,;1.14285714286;,;1.01818856719;,;1.01101423859;,;1.00398274145;
2010-04-21,;1.21116504854;,;1.01707498144;,;1.01008706367;,;1.00331895121;
2010-04-22,;1.24514563107;,;1.01893095768;,;1.01045793364;,;0.998008629273;
2010-04-23,;1.26525658807;,;1.00519673348;,;1.01119965232;,;1.00796548291;
2010-04-26,;1.25936199723;,;1.01002227171;,;1.00211316802;,;1.00862927315;
2010-04-27,;1.22434119279;,;1.00148478099;,;1.00211316802;,;0.993859940259;
2010-04-28,;1.22226074896;,;1.00334075724;,;0.994139272366;,;1.0071357451;
2010-04-29,;1.25520110957;,;1.00631031923;,;0.995808229742;,;0.999502157318;
2010-04-30,;1.21983356449;,;0.99146250928;,;0.994695577319;,;0.986558247594;
2010-05-03,;1.24445214979;,;1.00185597624;,;0.996550012196;,;0.987553932957;
