date,Russel 3000,AAPL
2010-01-04,;664.049988;,;28.84;
2010-01-05,;665.969971;,;28.89;
2010-01-06,;666.549988;,;28.43;
2010-01-07,;669.340027;,;28.38;
2010-01-08,;671.48999;,;28.56;
2010-01-11,;672.380005;,;28.31;
2010-01-12,;665.539978;,;27.99;
2010-01-13,;671.539978;,;28.39;
2010-01-14,;673.150024;,;28.22;
2010-01-15,;665.669983;,;27.75;
2010-01-19,;674.190002;,;28.98;
2010-01-20,;667.02002;,;28.53;
2010-01-21,;654.909973;,;28.04;
2010-01-22,;640.75;,;26.65;
2010-01-25,;643.5;,;27.36;
2010-01-26,;640.580017;,;27.75;
2010-01-27,;643.650024;,;28.01;
2010-01-28,;635.599976;,;26.85;
2010-01-29,;628.98999;,;25.88;
2010-02-01,;638.140015;,;26.24;
2010-02-02,;646.25;,;26.39;
2010-02-03,;642.609985;,;26.85;
2010-02-04,;622.219971;,;25.88;
2010-02-05,;624.039978;,;26.34;
2010-02-08,;618.630005;,;26.16;
2010-02-09,;626.799988;,;26.44;
2010-02-10,;625.599976;,;26.29;
2010-02-11,;632.409973;,;26.77;
2010-02-12,;631.869995;,;27.0;
2010-02-16,;643.280029;,;27.41;
2010-02-17,;646.219971;,;27.29;
2010-02-18,;650.429993;,;27.35;
2010-02-19,;651.900024;,;27.18;
2010-02-22,;651.26001;,;27.01;
2010-02-23,;643.130005;,;26.55;
2010-02-24,;649.210022;,;27.04;
2010-02-25,;648.219971;,;27.22;
2010-02-26,;648.900024;,;27.57;
2010-03-01,;656.5;,;28.16;
2010-03-02,;658.789978;,;28.14;
2010-03-03,;658.960022;,;28.21;
2010-03-04,;661.299988;,;28.39;
2010-03-05,;670.97998;,;29.5;
2010-03-08,;671.119995;,;29.52;
2010-03-09,;672.390015;,;30.05;
2010-03-10,;675.900024;,;30.3;
2010-03-11,;678.47998;,;30.39;
2010-03-12,;678.5;,;30.53;
2010-03-15,;678.320007;,;30.16;
2010-03-16,;683.830017;,;30.24;
2010-03-17,;687.950012;,;30.2;
2010-03-18,;687.210022;,;30.27;
2010-03-19,;683.049988;,;29.95;
2010-03-22,;687.380005;,;30.29;
2010-03-23,;692.650024;,;30.77;
2010-03-24,;688.619995;,;30.91;
2010-03-25,;686.659973;,;30.54;
2010-03-26,;687.070007;,;31.11;
2010-03-29,;691.130005;,;31.31;
2010-03-30,;691.289978;,;31.78;
2010-03-31,;688.73999;,;31.67;
2010-04-01,;694.030029;,;31.8;
2010-04-05,;700.789978;,;32.14;
2010-04-06,;702.349976;,;32.28;
2010-04-07,;698.390015;,;32.42;
2010-04-08,;700.330017;,;32.33;
2010-04-09,;705.090027;,;32.58;
2010-04-12,;706.400024;,;32.65;
2010-04-13,;707.090027;,;32.67;
2010-04-14,;715.780029;,;33.11;
2010-04-15,;716.359985;,;33.54;
2010-04-16,;705.23999;,;33.34;
2010-04-19,;707.190002;,;33.29;
2010-04-20,;713.619995;,;32.96;
2010-04-21,;713.549988;,;34.93;
2010-04-22,;716.22998;,;35.91;
2010-04-23,;721.809998;,;36.49;
2010-04-26,;718.73999;,;36.32;
2010-04-27,;701.840027;,;35.31;
2010-04-28,;705.799988;,;35.25;
2010-04-29,;715.640015;,;36.2;
2010-04-30,;702.940002;,;35.18;
2010-05-03,;712.719971;,;35.89;
2010-05-04,;694.880005;,;34.86;
2010-05-05,;689.320007;,;34.49;
2010-05-06,;666.590027;,;33.18;
2010-05-07,;655.02002;,;31.78;
2010-05-10,;684.73999;,;34.23;
2010-05-11,;683.349976;,;34.57;
2010-05-12,;694.330017;,;35.32;
2010-05-13,;686.330017;,;34.81;
2010-05-14,;672.890015;,;34.2;
2010-05-17,;673.659973;,;34.26;
2010-05-18,;663.75;,;34.01;
2010-05-19,;659.559998;,;33.46;
2010-05-20,;632.98999;,;32.04;
2010-05-21,;642.640015;,;32.65;
2010-05-24,;634.650024;,;33.25;
2010-05-25,;634.719971;,;33.04;
2010-05-26,;632.23999;,;32.89;
2010-05-27,;653.929993;,;34.14;
2010-05-28,;646.039978;,;34.61;
2010-06-01,;633.52002;,;35.15;
2010-06-02,;650.340027;,;35.57;
2010-06-03,;653.659973;,;35.46;
2010-06-04,;629.969971;,;34.49;
2010-06-07,;620.380005;,;33.81;
2010-06-08,;626.0;,;33.6;
2010-06-09,;623.130005;,;32.77;
2010-06-10,;641.950012;,;33.76;
2010-06-11,;645.690002;,;34.16;
2010-06-14,;645.210022;,;34.26;
2010-06-15,;660.51001;,;34.99;
2010-06-16,;659.679993;,;36.01;
2010-06-17,;660.049988;,;36.63;
2010-06-18,;660.710022;,;36.93;
