date,open,high,low,close
2014-09-02,102.211974831,102.886379477,101.874772507,102.45
2014-09-03,102.255942996,102.355124318,97.7729472408,98.13
2014-09-04,98.0339737057,99.2637372605,96.9827242152,97.31
2014-09-05,97.9913913307,98.5765625947,97.5054016369,98.16
2014-09-08,98.4822590484,98.4921766978,97.242552867,97.55
2014-09-09,98.2609898969,102.227925298,95.3452923768,97.18
2014-09-10,97.2045712871,100.27909604,96.9566257426,100.17
2014-09-11,99.588346643,100.60991817,98.8048111998,100.6
2014-09-12,100.373718277,101.345620696,100.244792445,100.82
2014-09-15,101.960246974,102.198263308,100.601570402,100.79
2014-09-16,98.9787229824,100.426708309,98.0762115804,100.03
2014-09-17,100.432563497,100.958180744,99.7581866509,100.74
2014-09-18,101.08884468,101.505378721,100.721898025,100.95
2014-09-19,101.449065967,101.508572702,99.6737816957,100.13
2014-09-22,100.963922422,101.301130022,99.7539422125,100.23
2014-09-23,99.7766952455,102.097544817,99.7171862822,101.8
2014-09-24,101.316615233,102.000918919,100.364540541,100.91
2014-09-25,99.6781506079,99.876495351,96.9112414427,97.06
2014-09-26,97.7182888337,99.92,97.5893598015,99.92
2014-09-29,97.8419588453,99.6172969733,97.8221226651,99.29
2014-09-30,99.9795057072,100.703491811,99.7018124069,99.92
2014-10-01,99.7583424077,99.8575156282,97.883968542,98.36
2014-10-02,98.4551711712,99.3973733734,97.2352672673,99.08
2014-10-03,98.6214816302,99.3851435455,98.2247741417,98.8
2014-10-06,99.127283678,99.8215217828,98.6016462558,98.8
2014-10-07,98.6144222785,99.2987625316,97.9201640506,97.94
2014-10-08,97.946797619,100.277447421,97.5005029762,99.97
2014-10-09,100.705727579,101.538825975,99.7833686399,100.19
2014-10-10,99.860329594,101.189288196,99.4735431351,99.9
2014-10-13,100.497512273,100.943815249,98.99,98.99
2014-10-14,99.5665478481,99.695481519,97.7614764557,97.94
2014-10-15,97.1664732417,98.336795161,94.3993561616,96.74
2014-10-16,94.7658269271,96.9180178683,94.6269758986,95.47
2014-10-17,96.7013924439,98.1891061739,96.0170441282,96.87
2014-10-20,97.5118364074,99.1383560545,97.4126583801,98.94
2014-10-21,102.175491363,102.175491363,100.439837025,101.63
2014-10-22,101.991237984,103.250756384,101.753218759,102.14
2014-10-23,103.226152819,104.188195173,102.77984451,103.97
2014-10-24,104.310330736,104.617767535,103.665705189,104.35
2014-10-27,103.982152031,104.606937494,103.833393588,104.24
2014-10-28,104.531047405,105.86,104.481459622,105.86
2014-10-29,105.775656792,106.489754053,105.488034284,106.46
2014-10-30,106.080164517,106.46695644,105.028883904,106.1
2014-10-31,107.119917593,107.14967037,106.326510185,107.11
2014-11-03,107.329707495,109.392595978,107.121435101,108.5
2014-11-04,108.463771639,108.592706262,106.837211786,107.71
2014-11-05,108.1980158,108.3963623,107.236035275,107.96
2014-11-06,108.170395584,108.359643974,107.373560258,108.27
2014-11-07,108.321025594,108.888777176,108.121814512,108.58
2014-11-10,108.589249288,108.898024442,108.240632179,108.4
2014-11-11,108.273919781,109.319804011,107.975095716,109.27
2014-11-12,108.947395955,110.98928809,108.937435506,110.81
2014-11-13,111.363978018,113.007542989,111.164758022,112.38
2014-11-14,112.70405938,113.739960589,112.604453494,113.73
2014-11-17,113.81889464,116.817012019,112.852723923,113.54
2014-11-18,113.495962588,115.239142634,113.446157443,115.02
2014-11-19,114.986978286,115.285800994,113.353414145,114.22
2014-11-20,114.455536927,116.397824779,114.395774224,115.85
2014-11-21,117.045892505,117.105655534,115.571737787,116.01
2014-11-24,116.387052179,118.299445334,116.157963416,118.16
2014-11-25,118.60425,119.281590136,116.990586735,117.14
2014-11-26,117.474186555,118.629605042,117.364621008,118.53
2014-11-28,118.798656352,118.928142605,117.583477676,118.46
2014-12-01,118.34537412,118.783653428,110.83486052,114.62
2014-12-02,113.054436012,115.295603245,112.307380267,114.18
2014-12-03,115.290714224,115.888333477,114.653253688,115.47
2014-12-04,115.318908996,116.743337085,114.840779288,115.04
2014-12-05,115.536126087,115.625773913,114.191408696,114.55
2014-12-08,113.653345196,114.201192171,111.183053381,111.96
2014-12-09,109.755496845,113.849290221,108.918809148,113.67
2014-12-10,113.960331398,114.398602054,111.101611434,111.51
2014-12-11,111.817477155,113.351406558,110.901103745,111.18
2014-12-12,110.027139342,111.431613962,109.150587806,109.3
2014-12-15,110.26018664,111.156610921,105.927469278,107.8
2014-12-16,105.951495082,109.726583607,105.841927869,106.33
2014-12-17,106.699000091,109.408310027,106.400179143,108.98
2014-12-18,111.433046605,112.21,110.227772747,112.21
2014-12-19,111.818110574,112.794252997,111.220472356,111.34
2014-12-22,111.723038782,113.047857269,111.533778998,112.5
2014-12-23,112.787302293,112.88691132,112.020312778,112.1
2014-12-24,112.137760914,112.267250246,111.57,111.57
2014-12-26,111.657461181,114.067907711,111.567816475,113.54
2014-12-29,113.340474058,114.316602581,113.250829602,113.46
2014-12-30,113.195620334,113.474525418,111.671603271,112.08
